cd_vendedor;ds_uf;nome;cd_vendedor_superior;cd_gerente;origem;vl_financeiro;vl_faturado;positivados
30;SC;-;S00027;S00027;vendas;4704596,83;4704596,83;42
1033;SC;-;1032;1032;vendas;4042583,99;4042583,99;18
804;SC;-;767;767;vendas;3928882,55;3928882,55;747
S0002P;SC;-;S00027;S00027;vendas;2327839,17;2327839,17;4
374;PR;-;55;85;vendas;1437717,04;1437717,04;68
1012;SC;-;S00027;S00027;vendas;901889,15;901889,15;11
820;SC;-;231;583;vendas;815004,40;815004,40;8
420;SP;-;272;130;vendas;784295,57;784295,57;1
521;PR;-;55;85;vendas;619923,60;619923,60;25
1025;SC;-;768;767;vendas;598915,07;598915,07;63
491;SC;-;462;583;vendas;492737,23;492737,23;81
962;SC;-;S00027;S00027;vendas;416092,55;416092,55;23
854;SC;-;744;767;vendas;394891,62;394891,62;6
974;PR;-;55;85;vendas;325163,82;325163,82;35
353;SC;-;765;583;vendas;317212,54;317212,54;57
1024;SC;-;S00027;S00027;vendas;302896,64;302896,64;18
691;SC;-;523;583;vendas;301216,95;301216,95;65
594;SC;-;744;767;vendas;268202,48;268202,48;88
872;SC;-;744;767;vendas;262906,05;262906,05;81
945;SC;-;744;767;vendas;254880,21;254880,21;90
974;SC;-;523;583;vendas;254688,77;254688,77;64
628;SC;-;768;767;vendas;225590,99;225590,99;70
973;SC;-;765;583;vendas;213820,37;213820,37;74
476;SC;-;768;767;vendas;212675,32;212675,32;61
334;SC;-;768;767;vendas;209182,69;209182,69;72
807;SC;-;765;583;vendas;206718,84;206718,84;36
291;SC;-;744;767;vendas;201074,86;201074,86;66
990;SC;-;462;583;vendas;173665,41;173665,41;74
991;SC;-;231;583;vendas;173367,43;173367,43;76
639;SC;-;231;583;vendas;171824,90;171824,90;76
965;SC;-;462;583;vendas;163776,81;163776,81;74
597;SC;-;462;583;vendas;155273,66;155273,66;68
446;SC;-;744;767;vendas;152415,43;152415,43;87
940;SC;-;462;583;vendas;151808,77;151808,77;66
507;SC;-;744;767;vendas;149566,90;149566,90;57
997;SC;-;768;767;vendas;147556,54;147556,54;59
1007;SC;-;744;767;vendas;143232,25;143232,25;64
995;SC;-;768;767;vendas;138870,04;138870,04;58
977;SC;-;744;767;vendas;132683,46;132683,46;58
946;SC;-;744;767;vendas;132154,07;132154,07;57
619;SC;-;768;767;vendas;130173,65;130173,65;63
435;SC;-;462;583;vendas;128904,68;128904,68;89
577;SC;-;473;583;vendas;127649,36;127649,36;67
404;SC;-;462;583;vendas;116764,53;116764,53;108
602;SC;-;231;583;vendas;115925,52;115925,52;65
388;SC;-;473;583;vendas;113387,97;113387,97;68
963;SC;-;231;583;vendas;108242,33;108242,33;60
1019;SC;-;462;583;vendas;107269,16;107269,16;73
912;SC;-;523;583;vendas;105179,58;105179,58;66
1023;SC;-;523;583;vendas;103081,60;103081,60;76
506;SC;-;231;583;vendas;98525,42;98525,42;95
499;SC;-;768;767;vendas;98423,03;98423,03;63
911;SC;-;473;583;vendas;97463,66;97463,66;50
139;SC;-;583;583;vendas;94562,15;94562,15;71
-;SC;-;-;-;vendas;92824,02;92824,02;54
514;SC;-;765;583;vendas;90893,62;90893,62;64
978;SC;-;462;583;vendas;90283,37;90283,37;75
1031;SC;-;768;767;vendas;81116,52;81116,52;64
981;SC;-;231;583;vendas;76814,85;76814,85;77
634;SC;-;231;583;vendas;75262,28;75262,28;86
866;SC;-;765;583;vendas;68592,30;68592,30;51
630;SC;-;765;583;vendas;65123,71;65123,71;46
1017;SC;-;473;583;vendas;63810,04;63810,04;51
892;SC;-;523;583;vendas;60656,95;60656,95;64
996;SC;-;473;583;vendas;59371,46;59371,46;34
618;SC;-;765;583;vendas;57378,73;57378,73;60
1006;SC;-;523;583;vendas;56480,99;56480,99;69
1036;SC;-;473;583;vendas;54750,26;54750,26;40
876;SC;-;473;583;vendas;53910,73;53910,73;50
1070;SC;-;765;583;vendas;46225,28;46225,28;44
S00010;SC;-;765;583;vendas;45922,06;45922,06;48
148;SC;-;523;583;vendas;44958,39;44958,39;31
979;SC;-;473;583;vendas;44007,47;44007,47;53
913;SC;-;473;583;vendas;42143,29;42143,29;21
417;RS;-;20;11;vendas;38413,83;38413,83;12
S0002K;SC;-;462;583;vendas;33557,36;33557,36;35
998;SC;-;473;583;vendas;33303,35;33303,35;20
1026;SC;-;768;767;vendas;16305,48;16305,48;17
906;RS;-;19;89;vendas;14429,01;14429,01;29
908;PR;-;19;89;vendas;7084,53;7084,53;17
908;SC;-;583;583;vendas;3467,06;3467,06;3
269;RO;-;19;89;vendas;2650,63;2650,63;1
271;SP;-;19;89;vendas;2109,79;2109,79;10
913;SP;-;19;89;vendas;1528,64;1528,64;10
149;PR;-;16;2;vendas;1165,65;1165,65;1
901;RS;-;19;89;vendas;801,34;801,34;3
903;SP;-;19;89;vendas;714,70;714,70;1
609;RS;-;34;9;vendas;687,60;687,60;1
901;SP;-;19;89;vendas;483,33;483,33;1
581;RS;-;42;30;vendas;371,44;371,44;1
903;RS;-;19;89;vendas;277,42;277,42;1
899;PR;-;19;89;vendas;273,16;273,16;1
290;RS;-;65;8;vendas;258,78;258,78;1
448;RS;-;47;5;vendas;246,79;246,79;1
909;RS;-;19;89;vendas;139,15;139,15;6
299;RS;-;40;9;vendas;115,97;115,97;1
907;RS;-;19;89;vendas;-108,74;-108,74;0
460;RS;-;62;9;vendas;-168,33;-168,33;0
306;RS;-;31;9;vendas;-171,72;-171,72;0
