cd_vendedor;ds_uf;nome;origem;vl_financeiro;vl_faturado;positivados
30;SC;-;vendas;4183618,54;4183618,54;42
804;SC;-;vendas;3368592,75;3368592,75;747
1033;SC;-;vendas;2907217,96;2907217,96;18
S0002P;SC;-;vendas;1534185,63;1534185,63;4
374;PR;-;vendas;1150128,86;1082188,00;68
1012;SC;-;vendas;815132,44;815132,44;10
820;SC;-;vendas;815004,40;815004,40;8
521;PR;-;vendas;619923,60;619923,60;25
420;SP;-;vendas;603123,18;191155,17;1
1025;SC;-;vendas;513215,94;513215,94;58
491;SC;-;vendas;255866,32;255866,32;56
353;SC;-;vendas;247088,35;247088,35;35
962;SC;-;vendas;238845,02;238845,02;22
594;SC;-;vendas;212529,77;212529,77;80
974;PR;-;vendas;196983,63;196983,63;35
973;SC;-;vendas;169162,51;169162,51;56
945;SC;-;vendas;167136,62;167136,62;87
854;SC;-;vendas;166400,53;166400,53;6
628;SC;-;vendas;165553,80;165553,80;36
691;SC;-;vendas;165493,42;165493,42;29
807;SC;-;vendas;158301,86;158301,86;31
991;SC;-;vendas;153280,89;153280,89;59
476;SC;-;vendas;151736,31;151736,31;42
597;SC;-;vendas;145787,61;145787,61;59
965;SC;-;vendas;138478,78;138478,78;60
940;SC;-;vendas;133986,78;133986,78;51
990;SC;-;vendas;129469,33;129469,33;48
1024;SC;-;vendas;126091,19;126091,19;16
974;SC;-;vendas;122453,59;122453,59;49
639;SC;-;vendas;121631,42;121631,42;49
446;SC;-;vendas;118579,66;118579,66;67
507;SC;-;vendas;117530,14;117530,14;39
577;SC;-;vendas;107897,62;107897,62;52
977;SC;-;vendas;105245,99;105245,99;53
619;SC;-;vendas;99264,32;99264,32;32
291;SC;-;vendas;98241,23;98241,23;52
334;SC;-;vendas;97297,51;97297,51;40
912;SC;-;vendas;92597,57;92597,57;45
506;SC;-;vendas;92553,84;92553,84;86
435;SC;-;vendas;91774,78;91774,78;74
404;SC;-;vendas;91721,98;91721,98;95
997;SC;-;vendas;88251,14;88251,14;42
388;SC;-;vendas;85865,04;85865,04;50
1007;SC;-;vendas;83960,68;83960,68;41
946;SC;-;vendas;76859,76;76859,76;42
963;SC;-;vendas;75402,32;75402,32;38
978;SC;-;vendas;73330,56;73330,56;50
1019;SC;-;vendas;71279,62;71279,62;51
514;SC;-;vendas;68752,29;68752,29;46
872;SC;-;vendas;68681,72;68681,72;61
602;SC;-;vendas;67643,02;67643,02;42
1031;SC;-;vendas;60269,63;60269,63;54
634;SC;-;vendas;55402,46;55402,46;56
499;SC;-;vendas;53884,57;53884,57;50
1017;SC;-;vendas;52087,61;52087,61;29
911;SC;-;vendas;50835,78;50835,78;32
630;SC;-;vendas;50634,43;50634,43;28
892;SC;-;vendas;46919,71;46919,71;45
981;SC;-;vendas;46905,73;46905,73;45
618;SC;-;vendas;46416,86;46416,86;42
995;SC;-;vendas;46345,83;46345,83;43
1036;SC;-;vendas;46155,39;46155,39;29
1006;SC;-;vendas;40414,01;40414,01;41
139;SC;-;vendas;37953,40;37953,40;53
417;RS;-;vendas;37736,43;37736,43;11
1023;SC;-;vendas;36107,97;36107,97;48
S00010;SC;-;vendas;35685,49;35685,49;36
866;SC;-;vendas;34300,44;34300,44;32
1070;SC;-;vendas;33492,49;33492,49;31
979;SC;-;vendas;31452,50;31452,50;31
876;SC;-;vendas;30517,07;30517,07;31
996;SC;-;vendas;29990,81;29990,81;23
148;SC;-;vendas;29827,07;29827,07;19
S0002K;SC;-;vendas;27422,88;27422,88;26
-;SC;-;vendas;21256,17;21256,17;35
998;SC;-;vendas;16733,33;16733,33;12
1026;SC;-;vendas;13378,04;13378,04;11
913;SC;-;vendas;10532,19;10532,19;9
906;RS;-;vendas;9260,88;7795,02;26
908;PR;-;vendas;7084,53;7084,53;17
908;SC;-;vendas;3467,06;3467,06;3
269;RO;-;vendas;2145,79;1856,35;1
271;SP;-;vendas;2109,79;2109,79;10
913;SP;-;vendas;1528,64;1528,64;10
149;PR;-;vendas;1165,65;1165,65;1
901;RS;-;vendas;801,34;630,66;3
903;SP;-;vendas;714,70;714,70;1
909;RS;-;vendas;487,13;-126,05;3
901;SP;-;vendas;483,33;483,33;1
581;RS;-;vendas;371,44;371,44;1
903;RS;-;vendas;277,42;277,42;1
899;PR;-;vendas;273,16;273,16;1
290;RS;-;vendas;258,78;258,78;1
448;RS;-;vendas;246,79;246,79;1
299;RS;-;vendas;115,97;115,97;1
538;RS;-;vendas;-18,03;0,00;0
114;PR;-;vendas;-98,03;0,00;0
907;RS;-;vendas;-108,74;-108,74;0
460;RS;-;vendas;-168,33;-168,33;0
306;RS;-;vendas;-171,72;-171,72;0
